Article,Sentence,Span,Start,End
article111111112,"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",,-1,-1
article111111112,"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",,-1,-1
article111111112,"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",,-1,-1
article111111112,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",We condemn all those whose behaviours and views run counter to our shared values,11,91
article111111112,"'Right decision'
",,-1,-1
article111111112,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
","Defeat Jihad""",163,176
article111111112,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",a striking blow against freedom,72,103
article111111112,"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",,-1,-1
article111111112,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",,-1,-1
article111111112,"This is the right decision.
",,-1,-1
article111111112,"The UK should never become a stage for inflammatory speakers who promote hate.""
",,-1,-1
article111111112,"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",,-1,-1
article111111112,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",so-called land of democracy and freedom of speech,28,77
article111111112,"""How many hate preachers are living in this country?
",hate preachers,10,24
article111111112,"It just shows what sort of a two-tier system we have here.""
",,-1,-1
article111111112,"'Foster hatred'
",,-1,-1
article111111112,"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",,-1,-1
article111111112,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",,-1,-1
article111111112,"""These two are among some of the most extreme anti-Muslim activists in the world.
",,-1,-1
article111111112,"They've nothing to contribute to life in this country.
",,-1,-1
article111111112,"""They're not here to contribute to good community relations.
",,-1,-1
article111111112,"They only wanted to come here and help the EDL stir up more trouble.
",,-1,-1
article111111112,"Britain doesn't need more hate even just for a few days.""
",,-1,-1
article111111112,"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",,-1,-1
article111111112,"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",,-1,-1
article111111112,"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",,-1,-1
article111111113,"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing
",,-1,-1
article111111113,"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.
",firestorm of outrage ,118,139
article111111113,"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
",,-1,-1
article111111113,"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
",,-1,-1
article111111113,"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
",,-1,-1
article111111113,"The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.
",,-1,-1
article111111113,"Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.
",,-1,-1
article111111113,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters.
",hair trigger in single-action mode,79,113
article111111113,"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.
",,-1,-1
article111111113,"Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.
",,-1,-1
article111111113,"They said Garcia Zarate then threw the weapon into the bay and fled the scene.
",,-1,-1
article111111113,"Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.
",,-1,-1
article111111113,"At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.
",,-1,-1
article111111113,"He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.
",,-1,-1
article111111113,"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.
",,-1,-1
article111111113,"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.
","sanctuary"" policy",119,136
article111111113,"As a result of the case, both the DOJ and the city of San Francisco have changed several policies.
",,-1,-1
article111111113,"The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.
",,-1,-1
article111111113,"San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.
",,-1,-1
article111111113,"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.
","This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",1,162
article111111113,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""
","politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""",27,184
article111111113,"But ICE has faced criticism of its own over not seeking a judicial warrant to legally obtain custody of Garcia Zarate when it discovered he had been transferred into San Francisco's custody.
",,-1,-1
article111111113,"The agency has argued that obtaining judicial warrants are unnecessary and would place too much burden on ICE officials and federal courts.
",,-1,-1
article111111113,"Though the agency did issue a request to the city to detain Garcia Zarate until ICE officials could pick him up, their detainer requests are not signed by a judge and are therefore not legally binding.
",,-1,-1
article111111113,"San Francisco's policy is to ignore such requests if they are not accompanied by judge-signed warrants, and the city has cited federal court cases concluding that such detentions violate inmates' Fourth Amendment rights.
",,-1,-1
article111111113,"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.
",Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.,122,264
article111111113,"President Donald Trump immediately seized on the verdict on Thursday as evidence of the perils of ""Illegal Immigration.""
",,-1,-1
article111111113,"Trump frequently villainized Garcia Zarate and cited Steinle's death during his presidential campaign, using the case to bolster his argument for a border wall and aid his crusade against ""sanctuary cities.""
",,-1,-1
article111111113,"Early on Friday, Trump also falsely claimed on Twitter that Garcia Zarate had previously committed violent crimes and had illegally entered the US six times due to lax border security under the Obama administration.
",,-1,-1
article111111113,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.
",The Kate Steinle killer ,1,25
article111111113,"His exoneration is a complete travesty of justice.
",a complete travesty of justice.,19,50
article111111113,"BUILD THE WALL!""
","BUILD THE WALL!""",0,16
article111111113,"Trump tweeted.
",,-1,-1
article111111113,"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.
",,-1,-1
article111111113,"Lax border security, too, does not appear to be a factor since Garcia Zarate was caught by border patrol agents each time he entered the country under the Obama administration.
",,-1,-1
article111111113,"In contrast, Steinle's family has expressed nuanced views on immigration and ""sanctuary"" policies.
",,-1,-1
article111111113,"They have both condemned Trump for ""sensationalizing"" Steinle's death to advance anti-immigration policies, and expressed frustration with San Francisco officials, who they believe went too far in refusing to cooperate with federal immigration authorities.
",,-1,-1
article111111114,"U.S. judge frees Indonesian immigrant held by Trump order
",,-1,-1
article111111114,"A U.S. judge on Wednesday ordered the release of an illegal immigrant who is among 47 Indonesians in New Hampshire challenging the Trump administration’s order to deport them.
",,-1,-1
article111111114,"SPONSORED
",,-1,-1
article111111114,"Rombot, part of a wave of Indonesian Christians who fled their country following deadly riots in 1998, learned of the policy change when he appeared for an Aug. 1 check-in with ICE and was arrested.
",,-1,-1
article111111114,"“He walks out of the courthouse right now,” Chief U.S. District Judge Patti Saris said after concluding that Rombot’s detention violated his rights.
",,-1,-1
article111111114,"He walked out of the U.S. District Court in Boston in his blue jail scrubs, without a chance to change into street clothes.
",,-1,-1
article111111114,"Rombot’s lawyers said he was arrested despite a 2015 letter from ICE saying he would have a chance to prepare for an “orderly” departure.
",,-1,-1
article111111114,"The judge cited that letter during Wednesday’s hearing in holding that Rombot’s detention despite ICE’s previous guidance violated his due process rights under the U.S. Constitution.
",,-1,-1
article111111114,"“This is what intent was, that he would be given the opportunity to leave under his own steam and not under shackles,” she said.
",,-1,-1
article111111114,"Outside the courtroom, Rombot said: “I just want to say thank you to my attorney, my pastor and all of my friends.”
",,-1,-1
article111111114,"The U.S. Attorney’s office is considering an appeal, a spokeswoman said.
",,-1,-1
article111111114,"ICE officials said the arrangement had always been a temporary one and that the agency always had discretion to deport the people covered by the arrangement.
",,-1,-1
article111111114,"The Indonesians are part of an ethnic community of about 2,000 people clustered around the city of Dover in New Hampshire’s seacoast region.
",,-1,-1
article111111114,"Members of the group and advocates say they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country.
",,-1,-1
article111111114,"Their cause has drawn the support of Republican Governor Chris Sununu and New Hampshire’s all-Democratic congressional delegation, including U.S.
",,-1,-1
article111111114,"Senator Jeanne Shaheen.
",,-1,-1
article111111114,"Saris previously ordered a stay to the deportations.
",,-1,-1
article111111114,"She is currently weighing whether she can order a longer delay to give the affected people time to renew their efforts to gain legal status.
",,-1,-1
article111111115,"Here are all the sexual misconduct accusations against Sen. Al Franken
",,-1,-1
article111111115,"Sen. Al Franken announced his resignationon the Senate floor Thursday morning, as Democratic calls for his resignation mount following the latest sexual misconduct accusations against him.
",,-1,-1
article111111115,"About 30 Senate Democrats, starting with women, have urged the Minnesota Democrat to step down.
",,-1,-1
article111111115,"Franken on Thursday denied most of the allegations, which started to surface last month.
",,-1,-1
article111111115,"Here are the eight accusations he faces:
",,-1,-1
article111111115,"Leeann Tweeden, a radio news anchor, says Franken groped and forcibly kissed her during a USO tour in 2006, before the former comedian was a senator.
",,-1,-1
article111111115,"She says Franken ""aggressively stuck his tongue in my mouth"" when the pair rehearsed a skit that featured a kiss.
","aggressively stuck his tongue in my mouth""",18,60
article111111115,"A photo also surfaced showing Franken looking at a camera while pretending to grab Tweeden's breasts as she was sleeping while clothed.
",,-1,-1
article111111115,"The senator apologized for the photo but said he remembered the skit incident differently.
",,-1,-1
article111111115,"Lindsay Menz says Franken grabbed her buttocks when the pair posed for a photo at the Minnesota State Fair in 2010.
",,-1,-1
article111111115,"Franken later said he did not remember taking the picture but ""felt badly"" that Menz felt disrespected.
",,-1,-1
article111111115,"Two other unidentified women told HuffPost that Franken grabbed their buttocks at separate events in 2007 and 2008.
",,-1,-1
article111111115,"One of the women says Franken suggested that he and she should go to the bathroom together.
",,-1,-1
article111111115,"Franken said he did not remember the events and denied asking anyone to visit the bathroom with him.
",,-1,-1
article111111115,"Stephanie Kemplin, an Army veteran, says Franken put his hand on her breast during a USO tour in 2003.
",,-1,-1
article111111115,"In a statement following that accusation, Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.
","Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.",42,133
article111111115,"A woman described as a ""former elected official in New England"" told the Jezebel website that Franken tried to give her a ""wet, open-mouthed kiss"" during an event in 2006.
","wet, open-mouthed kiss""",123,146
article111111115,"The senator has not appeared to respond specifically to the allegation.
",,-1,-1
article111111115,"An unnamed former Democratic congressional aide told Politico that the senator tried to forcibly kiss her after he taped a radio show in 2006.
",,-1,-1
article111111115,"She says she avoided the kiss, then heard Franken say ""it's my right as an entertainer.""
",,-1,-1
article111111115,"Franken called the allegation ""categorically not true.""
",,-1,-1
article111111115,"Tina Dupuy writes in The Atlantic that Franken put his hand around her waist while the pair posed for a photo and squeezed ""at least twice"" during an event in 2009.
","and squeezed ""at least twice""",110,139
article111111115,"The senator has not specifically responded to that allegation.
",,-1,-1
article111111117,"Trump formally nominates Gina Haspel to be next CIA director
",,-1,-1
article111111117,"WASHINGTON — President Donald Trump formally notified Congress on Tuesday that deputy CIA director Gina Haspel is his pick to lead the agency.
",,-1,-1
article111111117,"Trump tweeted last month that he had selected Haspel to replace Mike Pompeo, who is being considered to be secretary of state.
",,-1,-1
article111111117,"But the president had not sent the formal paperwork to Capitol Hill.
",,-1,-1
article111111117,"Logistical issues, including an FBI background check that took longer than expected, was to blame, according to a U.S. official, who was not authorized to discuss the issue and spoke only on condition of anonymity.
",,-1,-1
article111111117,"Still, the delay prompted critics to speculate that the delay signaled the White House was having second thoughts about the nomination.
",the delay signaled the White House was having second thoughts about the nomination.,52,135
article111111117,"Some lawmakers and human rights groups oppose Haspel’s nomination because of her role in the CIA’s detention and harsh interrogation of terror suspects after 9/11.
",,-1,-1
article111111117,"The Senate intelligence committee is expected to have a confirmation hearing for Haspel in coming weeks, followed by a vote in the full Senate.
",,-1,-1
article111111121,"Dallas Police Dept.
",,-1,-1
article111111121,"fires officer who killed Botham Jean in his apartment
",,-1,-1
article111111121,"The Dallas Police Department fired Officer Amber Guyger on Monday, two weeks after she was charged in the fatal shooting of her neighbor.
",,-1,-1
article111111121,"This contradicted the police chief’s recent statements that she was unable to discipline the officer while a criminal investigation proceeded.
",,-1,-1
article111111121,"Guyger allegedly walked into the apartment of the neighbor, Botham Jean, and fatally shot him Sept 6.
",,-1,-1
article111111121,"When she was arrested three days later on manslaughter charges, Guyger said she confused Jean’s home for her own, confused Jean for an intruder, and shot him when he refused her commands, according to court documents.
",,-1,-1
article111111121,"The victim’s family has disputed her account and said she had knocked on Jean’s door before killing him.
",,-1,-1
article111111121,"The incident — one of more than 700 police killings counted by The Washington Post this year — sparked criticism against the police department, which waited days to arrest Guyger, then went weeks without disciplining her even though she was placed on leave.
",,-1,-1
article111111121,"“The delay raised questions about why investigators held off on arresting the officer and about whether law enforcement authorities were showing deferential treatment for one of their own,” Kristine Phillips and Deanna Paul wrote for The Post.
",,-1,-1
article111111121,"After repeated protests, Police Chief U. Reneé Hall gave contradictory explanations last week for why she could not fire the officer.
",,-1,-1
article111111121,"She told a town hall that “local, state and federal laws prohibit me from taking action,” according to ABC affiliate WFAA.
",,-1,-1
article111111121,"Two days later, the Dallas Morning News reported that police could fire Guyger but did not plan to review her employment until a criminal investigation wrapped up — probably months away.
",,-1,-1
article111111121,"In a statement, Hall said that any disciplinary investigation would risk compromising the criminal case.
",,-1,-1
article111111121,"“That is not a risk I am willing to take,” she said.
",,-1,-1
article111111121,"Police did not explain what changed by Monday, when the department announced that an internal-affairs investigation had been launched and already “concluded” that Guyger’s arrest was a fireable offense.
",,-1,-1
article111111121,"The officer, who was hired in late 2013, was terminated during a hearing Monday morning “for her actions.”
",,-1,-1
article111111121,"The statement notes that Guyger can appeal her firing.
",,-1,-1
article111111121,"Police did not comment on whether Hall is still worried that the termination might affect the criminal investigation.
",,-1,-1
article111111121,"As Paul wrote for The Post, the more significant legal questions are whether Guyger is prosecuted as a police officer or civilian and whether a jury decides she acted reasonably in using deadly force.
",,-1,-1
article111111122,"Kavanaugh Nomination Is Exploding in Trump’s Face
",Exploding in Trump’s Face,24,49
article111111122,"The president is doubling down on an increasingly risky candidate.
",,-1,-1
article111111122,"Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring.
",the biggest political gift possible ,52,88
article111111122,"Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court.
",complete hash ,88,102
article111111122,"It’s a good example of how badly Trump does his job more than a year and a half into his administration.
",how badly Trump does his job ,23,52
article111111122,"To begin with, Trump has outsourced his judicial nominations to outside, party-aligned groups, the Heritage Foundation and the Federalist Society.
",,-1,-1
article111111122,"That included an unusually central role for the Federalist Society’s Leonard Leo.
",,-1,-1
article111111122,"That wasn’t entirely a Trump mistake.
",,-1,-1
article111111122,"His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate.
",reflected the reality-TV star’s weakness as a presidential candidate,88,156
article111111122,"The party was worried that Trump might turn out not to be a conservative; to reassure them, he publicly committed to their top goal.
",,-1,-1
article111111122,"In some ways, that’s successful coalition-building, and what he’s done in office is just keeping his promises on judges.
",,-1,-1
article111111122,"Still, it’s one thing to form an alliance with conservatives; it’s another to turn the whole process over to them.
",,-1,-1
article111111122,"We don’t know to what extent Kavanaugh was Trump’s choice and to what extent he was manipulated into choosing him.
",,-1,-1
article111111122,"We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part.
",Trump is easily manipulated by those around him,32,79
article111111122,"1
",,-1,-1
article111111122,"Either way, Kavanaugh was a poor choice from the point of view of good presidenting.
",,-1,-1
article111111122,"The judge was certain to be a highly controversial selection from the start.
",,-1,-1
article111111122,"After all, he had been a highly controversial selection for his current circuit court seat, eventually getting confirmed with only four Democratic votes after a long delay.
",,-1,-1
article111111122,"Kavanaugh is a longtime Republican operative, a hard-liner during both the Vince Foster and Monica Lewinsky investigations.
",,-1,-1
article111111122,"Nominating him, rather than a conservative with similar views but a different background, was bound to stir up trouble.
",,-1,-1
article111111122,"It was also true, as Senate Majority Leader Mitch McConnell reportedly warned, that normal disclosure of Kavanaugh’s record, especially his service during the George W. Bush administration, was going to delay confirmation even more.
",,-1,-1
article111111122,"Senate Republicans dealt with that problem by deciding to not bother with any Kavanaugh documents that couldn’t be produced rapidly, which further riled up the Democrats and gave that party some good talking points.
",,-1,-1
article111111122,"2
",,-1,-1
article111111122,"Sometimes it’s worth taking risks.
",,-1,-1
article111111122,"Presidents who shy away from anything that’s not a sure thing can fail to exploit opportunities.
",,-1,-1
article111111122,"It’s just very hard to see any upside for Trump in choosing Kavanaugh instead of a safer, but still very conservative, other option.
",,-1,-1
article111111122,"3
",,-1,-1
article111111122,"When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick with him instead of moving on to another candidate.
",,-1,-1
article111111122,"It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble.
",severe trouble,82,96
article111111122,"Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts.
",,-1,-1
article111111122,"But there’s an art to minimizing damage.
",,-1,-1
article111111122,"And Trump hasn’t learned it yet.
",Trump hasn’t learned it yet,4,31
article111111122,"For one thing, the president has made this an extremely high-profile episode by stringing out the process as the accusations against Kavanaugh gained credibility and even multiplied.
",extremely high-profile episode ,46,77
article111111122,"Whether that matters in terms of public opinion for Trump is unclear, but it certainly isn’t good for any Republican senators caught up in the middle, along with any other candidates who have had to weigh in only to find the facts as they knew them constantly changing.
",,-1,-1
article111111122,"It’s also the case that the more negative information comes out, the more it appears that the Trump and his White House staff failed to do their jobs in vetting and managing Kavanaugh.
",Trump and his White House staff failed to do their jobs ,94,150
article111111122,"If the nomination had been pulled right after Christine Blasey Ford made her initial assertions about Kavanaugh, the public might have concluded that it wasn’t Trump’s fault that a previously unaired accusation came to light.
",,-1,-1
article111111122,"Meanwhile, Trump’s behavior has been as erratic as ever.
",,-1,-1
article111111122,"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward.
",a slur on all women ,83,103
article111111122,"He sometimes praises Kavanaugh, but also let it be known that he thought the nominee had performed badly in his Fox News interview.
",,-1,-1
article111111122,"The White House demanded a final up and down vote on Tuesday; by Wednesday, he was saying that the nomination would die if Kavanaugh didn’t do well before the Judiciary Committee on Thursday.
",,-1,-1
article111111122,"The sum of all this has been, as in many other episodes, that Trump and his White House are a gang that can’t shoot straight and that he’s eager to blame his allies and lash out at his enemies in ugly ways when things go wrong.
",a gang that can’t shoot straight ,92,125
article111111122,"A botched nomination matters because allies will be less likely to trust Trump, not just on Supreme Court choices, but on any initiative.
",,-1,-1
article111111122,"And, for that matter, they’ll be less likely to trust him when he asserts that there’s nothing remaining for Special Counsel Robert Mueller to reveal.
",,-1,-1
article111111122,"Trump’s professional reputation is already terrible, but everything counts.
",,-1,-1
article111111122,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president.
","As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",0,124
article111111122,"Trump is hurting himself right now, and will have hurt himself more if Kavanaugh is not confirmed.
",,-1,-1
article111111122,"And yes, I call it the cut-of-his-jib test quite deliberately.
",cut-of-his-jib test ,23,43
article111111122,"It's no surprise that someone who hires based on what he thinks someone doing that job should look like, which seems to be based on hazy old-time Hollywood casting, would wind up with fewer women in his administration than any of his recent predecessors.
",someone who hires based on what he thinks someone doing that job should look like,22,103
article111111122,"I've argued that too much disclosure is required, and that Democrats (and any wavering Republicans) had more than enough information to make up their mind.
",,-1,-1
article111111122,"I still think that's true.
",,-1,-1
article111111122,"But it did leave Republicans vulnerable to claims about transparency which were likely to be popular -- most people, and the entire press corps, love transparency -- and vulnerable to bombshells in the documentary record which hadn't been initially disclosed.
",bombshells ,184,195
article111111122,"In the event, that's not what's causing the trouble, but still it's an example of Trump taking needless risks.
",,-1,-1
article111111122,"Some have speculated that Kavanaugh would be especially likely to rule in Trump's favor if any cases stemming from the Robert Mueller investigation wind up at the high court.
",,-1,-1
article111111122,"Perhaps.
",,-1,-1
article111111122,"There are plenty of other partisan, conservative judges, and plenty of conservative judges who lean towards an expansive view of presidential powers.
","partisan, conservative judges",26,55
article111111122,"And if Kavanaugh is really an outlier on that issue, then he won't be in the majority on any future decision anyway.
",,-1,-1
article111111122,"So, no, I don't think there's any good reason to think Kavanaugh would be especially helpful to Trump compared to others he could have selected.
",,-1,-1
article111111123,"Domestic abuse allegations against Keith Ellison cannot be substantiated, Dems' lawyer says
",,-1,-1
article111111123,"A lawyer hired by Minnesota Democrats says she is unable to substantiate the accusations of domestic abuse against Rep. Keith Ellison because the lawmaker’s ex-girlfriend refused to provide video of the incident - but the findings are still being turned over to law enforcement.
",,-1,-1
article111111123,"The Associated Press on Monday reported that it obtained a draft of a report written by Susan Ellingstad, a lawyer hired by Minnesota's Democratic-Farmer-Labor Party to investigate the claim against Ellison.
",,-1,-1
article111111123,"""The investigation report, which was released today without our knowledge by someone outside of our organization, was unable to substantiate the claim of physical abuse made by Ms. Monahan,” DFL Chairman Ken Martin said in a statement.
",,-1,-1
article111111123,"Martin said they planned to turn over the report to local law enforcement.
",,-1,-1
article111111123,"“For the purpose of objectivity and getting all of the facts regarding these allegations, we have decided to forward the information in the investigation to local authorities in order to let them review the contents and determine whether further investigation is warranted,” Martin said.
",,-1,-1
article111111123,"The Democratic congressman, who serves as deputy chairman of the Democratic National Committee, has denied the allegations.
",,-1,-1
article111111123,"In a statement, Ellison thanked Ellingstad for conducting a ""thorough, independent, and fair review.""
",,-1,-1
article111111123,"""I believe women who come forward must be heard, and to have their allegations fully investigated,"" Ellison said.
",,-1,-1
article111111123,"""This is why I have complied with this investigation fully, and will do so with any other inquiries.
",,-1,-1
article111111123,"... At this time, I will be focusing on the issues of this important election.""
",,-1,-1
article111111123,"Ellison’s ex-girlfriend, Karen Monahan, alleged in August that Ellison dragged her off a bed by her feet while screaming obscenities at her in 2016.
",,-1,-1
article111111123,"Monahan said she had video footage of the incident and levied the allegation just days ahead of a crowded Democratic primary for Minnesota attorney general that Ellison went on to win.
",,-1,-1
article111111123,"The state's Democratic party launched an investigation into the claim, retaining a local attorney with links to the state party to determine whether the alleged incident took place.
",,-1,-1
article111111123,"Democratic party chairman Ken Martin said last week he expected the investigation to conclude soon.
",,-1,-1
article111111123,"A draft report obtained by the AP noted Monahan's shifting rationale for refusing to produce the video footage, including that it was lost, was on a USB drive in storage and would be too embarrassing and traumatic to release it.
",,-1,-1
article111111123,"The Ellison accusations have put Democrats in an uncomfortable position, as they speak out on sexual misconduct claims against Supreme Court nominee Brett Kavanaugh.
",,-1,-1
article111111123,"Kavanaugh denies the accusations.
",,-1,-1
article111111123,"Monahan slammed the Democratic Party for its response to her allegations when compared to its treatment of Christine Blasey Ford.
",,-1,-1
