id,span,propaganda
93,Caveats (here in italic and underlined) were added to the headline and within several paragraphs.,0
94,At 16:05 utc the Guardian silently edited the story.,0
95,We are considering all legal options against the Guardian who proceeded with this story even after being notified by my representatives that it was false.”,0
96,I have never ,1
97,"“I have never been contacted by anyone connected to Wikileaks, either directly or indirectly.",0
98,"“I have never met Julian Assange or anyone connected to him,” the statement said.",0
99,Shortly after the Guardian's fake news story went public Paul Manafort issued an unequivocal denial:,0
100,There is no public evidence that support such claims.,0
101,Assange and other involved people deny that such a relation existed.,0
102,The new Guardian story looked like another weak attempt to connect the alleged Russian malfeasance with Assange and the Wikileaks publishing of the DNC emails.,0
103,The Guardian had to publish an apology.,0
104,"When he worked in Moscow he copied stories and passages from the now defunct Exile, run by Matt Taibbi and Mark Ames.",0
105,plagiarizer,1
106,a hack job in the purest sense of the term,1
107,Harding earlier wrote a book about Edward Snowden which was a similar sham.,0
108,"When asked for any proof for his assertion Harding defensively says that he is just ""storytelling"" - in other words: it is fiction.",0
109,there is absolutely no evidence in the book to support its claims,1
110,He was taken apart in a Real News interview (vid) about the book.,0
111,"Take for example Luke Harding of the Guardian who just published a book titled Collusion: Secret Meetings, Dirty Money, and How Russia Helped Donald Trump Win.",0
112,"the ""Russian influence"" nonsense ",1
113,A year ago an important Moon of Alabama piece - From Snowden To Russia-gate - The CIA And The Media - mentioned Harding:,0
114,"Moreover, the main author of the story, Luke Harding, is known to be a notorious fraud, a russo-phobe intelligence asset with a personal grievance towards Assange and Wikileaks",1
115,"In sum, the Guardian published a story today that it knew would explode into all sorts of viral benefits for the paper and its reporters even though there are gaping holes and highly sketchy aspects to the story",1
116,"If Manafort had really visited Assange, it would have long been known:",0
117,Every visit is logged.,0
118,"There are several guards, and visitors have to provide their identity to enter it.",0
119,Glenn Greenwald noted that the Ecuadorian embassy is under heavy CCTV surveillance.,0
120,The story was weakly sourced and included some details that seemed unlikely to be true,1
121,But several people who had followed the Russiagate fairytale and the Mueller investigation were immediately suspicious of the Guardian claim,1
122,It is likely that millions of people took note of its claim.,0
123,They distributed is as a factual account.,0
124,sensational claim ,1
125,"On Monday special counsel Robert Mueller said Manafort lied to investigators, violating his recent plea deal.",0
126,Currently the U.K. and Ecuador conspire to deliver Julian Assange to U.S. authorities.,0
127,The Guardian piece came at a critical moment.,0
128,The piece did not include the public denial Wikileaks issued to its 5.4 million followers one and a half hour before it was published.,0
129,His lawyers declined to answer the Guardian’s questions about the visits.,0
130,the claim is “100% false,1
131,Months later WikiLeaks released a stash of Democratic emails stolen by Russian intelligence officers.,0
132,A well-placed source has told the Guardian that Manafort went to see Assange around March 2016.,0
133,"But the last meeting is likely to come under scrutiny and could interest Robert Mueller, the special prosecutor who is investigating alleged collusion between the Trump campaign and Russia.",0
134,It is unclear why Manafort wanted to see Assange and what was discussed.,0
135,"Sources have said Manafort went to see Assange in 2013, 2015 and in spring 2016 – during the period when he was made a key figure in Trump’s push for the White House.",0
136,"Manafort held secret talks with Assange in Ecuadorian embassy Donald Trump’s former campaign manager Paul Manafort held secret talks with Julian Assange inside the Ecuadorian embassy in London, and visited around the time he joined Trump’s campaign, the Guardian has been told.",0
137,The first version read:,0
138,It led the front page and also appeared in print.,0
139,90 minutes later the Guardian piece went life.,0
140,It attached the email the Guardian's Luke Harding had send.,0
141,"In letter today to Assange's lawyers, Guardian's Luke Harding, winner of Private Eye's Plagiarist of the Year, falsely claims jailed former Trump campaign manager Paul Manafort had secret meetings with Assange in 2013, 2015 and 2016 in story Guardian are ""planning to run",1
142,On of those followers is Katherine Viner:,0
143,Assange's Wikileaks responded through its public Twitter account which has 5.4 million followers.,0
144,Some two hours before the story went public it contacted Manafort and Assange's lawyers to get their comments.,0
145,"On November 27 the Guardian prepared to publish a story which asserted that Paula Manafort, Trump's former campaign manager, had met Julian Assange, the publisher of Wikileaks, in the Ecuadorian embassy in London on at least three occasions.",0
146,a willful fake,1
147,"Its recent fake news story about Paul Manafort, Wikileaks and Julian Assange aptly demonstrates this",1
148,manipulative propaganda ,1
149,cranky identity grievances stories,1
150,"While it earlier made attempts to balance its shoddier side with some interesting reporting, it is now solidly main stream in the worst sense.",0
151,Under her lead the paper took a new direction.,0
152,In 2015 the British Guardian appointed Katherine Viner as editor in chief.,0
153,This Guardian Fake News Story Proves That The Media Can't Be Trusted,1
154,"November 29, 2018",0
155,This Guardian Fake News Story Proves That The Media Can't Be Trusted,1
156,"If you appreciated it, or any of the others, please consider hitting the donate button in the right-hand margin (computer) or below (phone).",0
157,No one pays me to write these blog posts.,0
158,Read Porter’s article here.,0
159,the Guardian’s hit-piece ,1
160,It did what it is designed to do.,0
161,The Guardian did not make a mistake in vilifying Assange without a shred of evidence.,0
162,"Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order",1
163,"With this story, it has done what it regularly does when supposedly vital western foreign policy interests are at stake – it simply regurgitates an elite-serving, western narrative.",0
164,"The truth is that the Guardian has not erred in this latest story attacking Assange, or in its much longer-running campaign to vilify him.",0
165,"Improbably, the Guardian has adopted Higgins as the poster-boy for a supposed citizen journalism it has sought to undermine as “fake news” whenever it occurs on social media without the endorsement of state-backed organisations",1
166,"a high-level, Washington-based think-tank founded to drum up support for NATO and justify its imperialist agenda",1
167,"Higgins and his well-staffed website Bellingcat have taken on for themselves the role of arbiters of truth on many foreign affairs issues, taking a prominent role in advocating for narratives that promote US and NATO hegemony while demonising Russia, especially in highly contested arenas such as Syria",1
168,"Like Luke Harding, Higgins invariably seems ready to echo whatever the British and American security services need verifying “independently”.",0
169,"The Guardian also has an especial soft spot for blogger Elliot Higgins, who, aided by the Guardian, has shot to unlikely prominence as a self-styled “weapons expert”.",0
170,an arbiter of what is good for Britain and the world’s future,1
171,Islamic jihadists ,1
172,"Its pages, however, are readily available to the latest effort to prop up the status quo from Tony Blair, the man who led Britain, on false pretences, into the largest crime against humanity in living memory – the attack on Iraq.",0
173,the entrenched neoliberal order that is hurtling us towards climate breakdown and economic collapse,1
174,its true heroes ,1
175,Heroes of the neoliberal order,0
176,"The Guardian has painted social media chiefly as a platform overrun by Russian trolls, arguing that this should justify ever-tighter restrictions that have so far curbed critical voices of the dissident left more than the right",1
177,"The Guardian has been vocal in the so-called “fake news” hysteria, decrying the influence of social media, the only place where leftwing dissidents have managed to find a small foothold to promote their politics and counter the corporate media narrative",1
178,democratically elected but official enemies of the US,1
179,populist leftwing governments that have rebelled against traditional and oppressive US hegemony in the region,1
180,"Similarly, the Guardian worked tirelessly to promote Clinton and undermine Sanders in the 2016 Democratic nomination process – another reason the paper has been so assiduous in promoting the idea that Assange, aided by Russia, was determined to promote Trump over Clinton for the presidency",1
181,"See here, here and here.",0
182,"Over the past three years, the Guardian has injected credibility into the Israel lobby’s desperate efforts to tar Corbyn as an anti-semite.",0
183,belligerent occupation,1
184,"Even aside from its decade-long campaign against Assange, the Guardian is far from “solid and reliable”, as Greenwald claims.",0
185,"Rather than being the reason for the Guardian violating basic journalistic standards and ethics, the paper’s hatred of Assange is a symptom of a deeper malaise in the Guardian and the wider corporate media",1
186,They are entirely predictable and systematic.,0
187,What this misses is that the Guardian’s attacks on Assange are not exceptional or motivated solely by personal animosity.,0
188,Deeper malaise,0
189,"— Glenn Greenwald (@ggreenwald) November 28, 2018",0
190,Let's see it.,0
191,"If Manafort went there, there's video.",0
192,Assange's most devoted haters,1
193,I hope the story turns out true.,0
194,I think the Guardian is an important paper with great journalists.,0
195,a bizarre tweet,1
196,"They [Guardian editors] knew that publishing this story would cause partisan warriors to excitedly spread the story, and that cable news outlets would hyperventilate over it, and that they’d reap the rewards regardless of whether the story turned out to be true or false",1
197,It was also apparently evidence of the paper’s clickbait tendencies,1
198,"The Guardian, an otherwise solid and reliable paper, has such a pervasive and unprofessionally personal hatred for Julian Assange that it has frequently dispensed with all journalistic standards in order to malign him",1
199,long-standing (and well-documented) hostility towards Assange,1
200,baffling observations ,1
201,"Despite all this, even analysts critical of the Guardian’s behaviour have shown a glaring failure to understand that its latest coverage represents not an aberration by the paper but decisively fits with a pattern",1
202,"A pattern, not an aberration",0
203,That is profoundly irresponsible journalism – fake news – that should be of the gravest concern to readers.,0
204,"Even if it later turns out that Manafort did visit Assange, the Guardian clearly had no compelling evidence for its claims when it published them.",0
205,"It appears the Guardian has simply taken this story, provided by spooks, at face value.",0
206,"And the only people who could have promised that kind of insurance are the security and intelligence services – presumably of Britain, the United States and / or Ecuador.",0
207,That at the very least hints that the Guardian thought they had “insurance” on this story.,0
208,"And yet this piece seems to have been casually waved through, given a green light even though its profound shortcomings were evident to a range of well-placed analysts and journalists from the outset",1
209,"In that lengthy process, a variety of commissioning editors, lawyers, backbench editors and the editor herself, Kath Viner, would normally insist on cuts to anything that could not be rigorously defended and corroborated.",0
210,"I worked for the Guardian for a number of years, and know well the layers of checks that any highly sensitive story has to go through before publication.",0
211,Neither precaution was taken.,0
212,"At a very minimum, they should have sought out a response from Assange and Manafort before publication.",0
213,"Given this, one would have expected the Guardian’s editors to have insisted on the most stringent checks imaginable before going to press with Harding’s story.",0
214,"It is worth noting it should be vitally important for a serious publication like the Guardian to ensure its claims are unassailably true – both because Assange’s personal fate rests on their veracity, and because, even more importantly, a fundamental right, the freedom of the press, is at stake.",0
215,No fact-checking,0
216,Russians,1
217,Russians,1
218,this latest fabrication ,1
219,Murray:,0
220,It did not refer to the logs in its latest story.,0
221,"In fact, the Guardian obtained the embassy’s logs in May, and has never made any mention of either Manafort or “Russians” being identified in them.",0
222,Any visits by Manafort would have been logged.,0
223,Former British ambassador Craig Murray also points out the extensive security checks insisted on by the embassy to which any visitor to Assange must submit.,0
224,The Guardian provides none of that.”,0
225,"According to Greenwald: “If Paul Manafort … visited Assange at the Embassy, there would be ample amounts of video and other photographic proof demonstrating that this happened.",0
226,Russians,1
227,"The environs of the Ecuadorian embassy are monitored especially heavily, with continuous filming by the UK and Ecuadorian authorities and most likely by the US and other actors with an interest in Assange’s fate.",0
228,"Glenn Greenwald is far from alone in noting that London is possibly the most surveilled city in the world, with CCTV cameras everywhere.",0
229,"The problem for the Guardian, which should have been obvious to its editors from the outset, is that any visits by Manafort would be easily verifiable without relying on unnamed “sources",1
230,Heavy surveillance,0
231,An administrative error this month revealed that the US justice department had secretly filed criminal charges against Assange.,0
232,Now Assange and his supporters have been proved right once again.,0
233,See here and here.,0
234,"Even when a United Nations panel of experts in international law ruled in 2016 that Assange was being arbitrarily – and unlawfully – detained by the UK, Guardian writers led efforts to discredit the UN report",1
235,was ridiculed ,1
236,And it will pave the way for the US legal system to lock Assange up for a very long time.,0
237,It will soften opposition when the UK moves to arrest Assange on self-serving bail violation charges and extradites him to the US.,0
238,"The Guardian story will prepare public opinion for the moment when Ecuador’s rightwing government under President Lenin Moreno forces Assange out of the embassy, having already withdrawn most of his rights to use digital media.",0
239,"That, in turn, will make it much easier to silence Assange and the vital cause he represents: the use of new media to hold to account the old, corporate media and political elites through the imposition of far greater transparency.",0
240,"The intention is to deeply discredit Assange, and by extension the Wikileaks organisation, in the eyes of right-thinking liberals.",0
241,the head of an organisation engaged in espionage for a foreign power,1
242,The emotional impact of the Guardian story is to suggest that Assange is responsible for four years or more of Trump rule.,0
243,‘Responsible for Trump’,0
244,"Manafort has denied the Guardian’s claims, while Assange has threatened to sue the Guardian for libel.",0
245,Russians,1
246,"These show that party bureaucrats sought to rig the primaries to make sure Clinton’s challenger for the Democratic nomination, Bernie Sanders, lost.",0
247,aggressively exploited ,1
248,Central actors have suggested instead that the emails were leaked from within the Democratic party.,0
249,"In truth, there is no public evidence that the emails were hacked, or that Russia was involved.",0
250,The Guardian’s latest story provides a supposedly stronger foundation for an existing narrative: that Assange and Wikileaks knowingly published emails hacked by Russia from the Democratic party’s servers.,0
251,"It is intended to provide evidence for long-standing allegations that Assange conspired with Trump, and Trump’s supposed backers in the Kremlin, to damage Hillary Clinton during the 2016 presidential race.",0
252,The propaganda function of the piece is patent,1
253,"Instead, it amended the text, without acknowledging it had done so, to attribute the claims to unnamed, and uncheckable, “sources”.",0
254,"Faced with the backlash, the Guardian quickly – and very quietly – rowed back its initial certainty that its story was based on verified facts.",0
255,"Reporter Luke Harding’s latest article, claiming that Donald Trump’s disgraced former campaign manager Paul Manafort secretly visited Assange in Ecuador’s embassy in London on three occasions, is so full of holes that even hardened opponents of Assange in the corporate media are struggling to stand by it",1
256,long-running vilification ,1
257,vilification ,1
258,"So far, we are being told that authorities are keeping an eye on the migrants as they celebrate their journey, but no reports have been issued saying they have actually crossed over yet.",0
259,"Kirstjen Nielsen (@SecNielsen) November 14, 2018",0
260,pic.twitter.com/eGyzwyXDw9 — Sec.,0
261,I want to thank @DeptofDefense for their partnership across the full spectrum of @DHSgov missions.,0
262,I met with #SecDef in #Texas today to highlight the work that we are doing together to secure our borders.,0
263,She also met with Secretary of Defense James Mattis in Texas.,0
264,"Kirstjen Nielsen (@SecNielsen) November 14, 2018",0
265,pic.twitter.com/fOlIQNF5pW — Sec.,0
266,"Today, I am at the #Texas border talking with @CBP officials on how we are securing ports of entry.",0
267,"Border security is national security, and @DHSgov will enforce our nation's laws.",0
268,"Today, I am at the # Texas border talking with @ CBP officials on how we are securing ports of entry.""",0
269,"Secretary of Homeland Security Kirstjen Nielsen said, ""Border security is national security, and @ DHSgov will enforce our nation's laws.",0
270,"#USBP pic.twitter.com/uGWUKjxJkj — CBP San Diego (@CBPSanDiego) November 14, 2018",0
271,All seeking entry into the U.S. are urged to present themselves at an official Port of Entry.,0
272,#CBP has deployed resources to safely secure the area near Imperial Beach.,0
273,the migrant caravan ,1
274,"All seeking entry into the U.S. are urged to present themselves at an official Port of Entry.""",0
275,# CBP has deployed resources to safely secure the area near Imperial Beach.,0
276,"US Customs and Border Patrol San Diego tweeted, ""The first group of the migrant caravan arrived at the Tijuana border yesterday afternoon.",0
277,"Border Patrol has not confirmed whether this group is part of the caravan.STORY: http://via.kswbtv.com/Ky5E4 Posted by FOX 5 San Diego on Tuesday, November 13, 2018",0
278,Increased activity at the U.S.-Mexico border after part of the Central American migrant caravan arrived in Tijuana.,0
279,"The caravan is here, illegally entering America This is a national disgrace Arrest and deport them all back to their home country pic.twitter.com/zmAvbC13eL — Charlie Kirk (@charliekirk11) November 14, 2018",0
280,Video of the migrants was captured in various reports.,0
281,"Several border agents were seen patrolling the area in trucks, 4-wheelers, a helicopter and on horses.",0
282,A few jumped or crawled to openings in the fence onto U.S. soil but quickly ran back as Border Patrol agents approached.,0
283,Several people scaled the fence and sat on top of it.,0
284,You also agree to this site's Privacy Policy and Terms of Use.,0
285,You may opt out at anytime.,0
286,Completing this poll grants you access to Freedom Outpost updates free of charge.,0
287,Comments This field is for validation purposes and should be left unchanged.,0
288,Email *,0
289,I'm not sure if he should have.,0
290,Maybe?,0
291,"No, you can't act like a child and keep your pass.",0
292,"* Yes, he should have gotten it back.",0
293,Should Jim Acosta have gotten his press pass back?,0
294,Should Jim Acosta have gotten his press pass back?,0
295,take our poll - story continues below Should Jim Acosta have gotten his press pass back?,0
296,SAN DIEGO -- People on the Mexican side of the border could be seen climbing the fence near Border Field State Park Tuesday afternoon after part of the Central American migrant caravan arrived in Tijuana.,0
297,Fox 5 reports:,0
298,climbing effortlessly ,1
299,Members from one of the migrant caravans finally reached the US border on Tuesday.,0
300,Climb Atop Fencing Effortlessly ,1
301,a bigger problem is the fact they actually changed one of the DOE forms,1
302,She went on to write that she thinks the incorrect date was used because whoever sent the cure affidavit mixed up the deadline for cure affidavits with the deadline for provisional ballots.,0
303,"“When I called it, it is the Democratic Party of Florida,” she said in a Nov. 8 email to DOS officials.",0
304,"In an email chain released as part of the Department of State’s Tuesday document dump, Citrus County Supervisor of Elections Susan Gill last week told DOS officials that a voter who received one of the cure affidavits with the wrong date had also received a call from a number identified as the Tallahassee office of the Florida Democratic Party, an indication the party was reaching out about her vote by mail ballot.",0
305,Political parties — or anyone else — can also get the publicly available cure affidavits and send them to voters who had a mail-in ballot rejected to encourage them to fix the ballots.,0
306,Political parties can get daily lists of people who had their mail-in ballots rejected.,0
307,point the finger ,1
308,"The records released by DOS, which is part of Gov.",0
309,"Attorneys Christopher P. Canova of the Northern District of Florida, Maria Chapa Lopez of the Middle District of Florida and Ariana Fajardo Orshan in the Southern District of Florida.",0
310,The letter was sent to U.S.,0
311,"“Altering a form in a manner that provides the incorrect date for a voter to cure a defect … imposes a burden on the voter significant enough to frustrate the voter’s ability to vote,” McVay wrote in a letter that was sent Nov. 9 and released publicly on Tuesday.",0
312,"The information was sent on Nov. 9 by Bradley McVay, DOS’ interim general counsel, who asked that the altered dates be investigated.",0
313,It wasn’t until Tuesday that the office revealed publicly that it had turned over information to federal prosecutors.,0
314,DOS officials have repeatedly told the media that the monitors they sent to Broward County saw no election fraud.,0
315,Republicans have pointed to embattled Broward Elections chief Brenda Snipes’ record of past election gaffes in arguing that the largely Democratic country is tilted against them — perhaps fraudulently so,1
316,"Among the counties in question is Broward, which emerged as the epicenter of controversy as three statewide races and three local legislative races went into recounts following the Nov. 6 elections.",0
317,It was not part of the information turned over to federal prosecutors.,0
318,"Audio of a Florida Democratic Party caller leaving a voicemail message asking a Palm Beach County voter to fix their vote by mail ballot after Election Day, which is not allowed, was also sent to POLITICO separately.",0
319,"But affidavits released on Tuesday by the DOS show that documents from four different counties said the ballots could be returned by 5 p.m. on Thursday, which is not accurate.",0
320,"Known as “cure affidavits,” those documents used to fix mail ballots were due no later than 5 p.m. on Nov. 5 — the day before the election.",0
321,"The concerns, which the department says can be tied to the Florida Democratic Party, center around date changes on forms used to fix vote-by-mail ballots sent with incorrect or missing information.",0
322,You also agree to this site's Privacy Policy and Terms of Use.,0
323,You may opt out at anytime.,0
324,Completing this poll grants you access to Freedom Outpost updates free of charge.,0
325,Name This field is for validation purposes and should be left unchanged.,0
326,Email *,0
327,I'm not sure if he should have.,0
328,Maybe?,0
329,"No, you can't act like a child and keep your pass.",0
330,"* Yes, he should have gotten it back.",0
331,Should Jim Acosta have gotten his press pass back?,0
332,Should Jim Acosta have gotten his press pass back?,0
333,Should Jim Acosta have gotten his press pass back?,0
334,take our poll - story continues below,0
335,"TALLAHASSEE — The Florida Department of State last week asked federal prosecutors to investigate dates that were changed on official state election documents, the first voting “irregularities” it has flagged in the wake of the 2018 elections.",0
336,"“Federal prosecutors reviewing altered election documents tied to Florida Democrats,” by Matt Dixon, Politico, November 14, 2018:",0
337,"They are insane in their lust for power, and will destroy even our democratic system to get it",1
338,the Democrats are likewise working feverishly to overturn the will of the people,1
339,a pro-jihad Marxist Democrat ,1
340,on a massive scale,1
341,It is high time ,1
342,Altered Election Documents Tied To Florida Democrats Reviewed By Federal Prosecutors,0
343,Article posted with permission from Pamela Geller,0
344,This is an embarrassment to our County and to Democracy,1
345,Mayor Gillum conceded on Election Day and now Broward County has put him ‘back in play.’ Bill Nelson conceded Election — now he’s back in play,1
346,"“Imagine the ones that we don’t.” Meanwhile, Gillum along with Florida Democratic Sen. Bill Nelson continue to call for all the votes to be counted in heavily Democratic Broward and Palm Beach counties, despite election officials in both missing state mandated deadlines in providing vote tallies.",0
347,"“These are the stories that we know,” Gillum said.",0
348,outrage ,1
349,"Rick Scott issued an executive order on Oct. 18 allowing election supervisors in Bay County and other counties impacted by the storm to extend early voting days and designate more early voting locations, but did not make provision for voting by fax or email.",0
350,"According to the Herald, Gov.",0
351,"The Miami Herald reported that Bay County Supervisor of Elections Mark Andersen said on Monday that 11 ballots were accepted by email and 147 were faxed in, though Florida law only permits those serving in the military overseas to use these methods….",0
352,Democratic gubernatorial candidate Andrew Gillum and others are expressing outrage at the special provision made for these voters.,0
353,"The top election official in heavily Republican Bay County allowed residents displaced by Hurricane Michael to vote by email and fax, contrary to Florida law.",0
354,"“Top FL County Election Official Illegally Let People Vote Over Fax, Email,” by Randy DeSoto, Western Journal, November 13, 2018 (thanks to Mark):",0
355,This massive Democrat voter fraud could be the end of our free republic,1
356,Of course not.,0
357,You also agree to this site's Privacy Policy and Terms of Use.,0
358,You may opt out at anytime.,0
359,Completing this poll grants you access to Freedom Outpost updates free of charge.,0
360,Comments This field is for validation purposes and should be left unchanged.,0
361,Email *,0
362,I'm not sure if he should have.,0
363,Maybe?,0
364,"No, you can't act like a child and keep your pass.",0
365,"* Yes, he should have gotten it back.",0
366,Should Jim Acosta have gotten his press pass back?,0
367,Should Jim Acosta have gotten his press pass back?,0
368,Should Jim Acosta have gotten his press pass back?,0
369,take our poll - story continues below,0
370,Have you ever heard of a close election in which a recount and “found” ballots gave the Republican victory,1
371,This is a disgrace,1
372,Every vote must be counted,1
373,"This happened in “heavily Republican Bay County,” and Democrat gubernatorial candidate Andrew Gillum is outraged.",0
374,Top Florida County Election Official Illegally Let People Vote Over Fax & Email,0
375,Democratic ineptitude or deception ,1
376,"They may have believed that they were supplying the correct information, but they still should not have altered official documents without verifying that they were right, which they weren’t.",0
377,It looks like Democrats may have hurt their own interests by misleading their voters.,0
378,While Democrats seem to have told voters they could fix ballot errors up to the Thursday after Election Day — these votes could not count.,0
379,"Of the many allegations of ballot mishandling in Florida, this is the first that has been referred to the federal government.",0
380,State officials turned over the altered forms to federal investigators.,0
381,"According to DOS officials, they are less concerned with the inaccurate dates, and more concerned with the fact that the cure affidavits appear to have been deliberately altered.",0
382,"“Altering a form in a manner that provides the incorrect date for a voter to cure a defect … imposes a burden on the voter significant enough to frustrate the voter’s ability to vote,” McVay wrote in a letter, sent on Nov. 9 and publicly released on Tuesday.",0
383,"Bradley McVay, DOS interim general counsel, asked attorneys in Florida to investigate the conflicting dates.",0
384,"It also looks like whoever sent out the cure affidavits physically changed the due date to say Nov. 8, instead of Nov. 6.",0
