id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
40,"If this latest story about Manafort and Assange is false—that is, if, for example, the sources lied to Harding and Collyns (or if the sources themselves were lied to and thus thought they were being truthful in their statements to the journalists), or if the Ecuadorian intelligence document is a fake, the most logical explanation is that it is an attempt to make Harding look bad.",0,382.00,0,0,"Manafort, Harding",,,1.00,0.09,0.64,21.41,0.00
41,...,0,3.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
42,Harding is likely a major target for anyone wrapped up in Russia’s intelligence operation against the West’s democratic institutions.,0,133.00,0,0,Harding,,Russia,1.00,0.03,0.75,18.35,0.00
43,...,0,3.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
44,Is it possible someone planted this story as a means to discredit the journalists,1,81.00,0,0,,,,2.00,0.00,1.00,57.27,0.00
45,the bombshell smoking gun that directly connects the Trump campaign to WikiLeaks,1,80.00,0,0,Trump,,,2.00,0.10,0.40,59.30,0.00
46,"Politico allowed ""a former CIA officer,"" writing under a pen name, to suggest - without any evidence - that the Guardian has been duped - not by its MI5/6 and Ecuadorian spy sources, but by Russian disinformation",1,212.00,0,0,Politico,CIA,,1.00,0.00,0.00,36.97,0.00
47,smear,1,5.00,0,0,,,,1.00,0.00,0.00,121.22,0.00
48,Within hours of being published the Guardian piece was debunked as fake news.,0,77.00,0,0,,,,1.00,-0.50,1.00,83.66,0.00
49,Unfortunately other 'western' media are not much better.,0,56.00,0,0,,,,1.00,-0.12,0.29,29.52,0.00
50,There is no longer any line that it does not dare to cross.,0,59.00,0,0,,,,1.00,0.00,0.00,109.04,0.00
51,It is openly publishing Goebbels' cartoons and rhetoric against Europes biggest state.,0,86.00,0,0,Goebbels,,,1.00,0.00,0.50,67.76,0.00
52,to smear ,1,9.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
53,It did what it is designed to do.,0,33.00,0,0,,,,2.00,0.00,0.00,105.66,0.00
54,The Guardian did not make a mistake in vilifying Assange without a shred of evidence.,0,85.00,0,0,,,,1.00,0.00,0.00,64.71,0.00
55,"Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order: ...",0,116.00,0,0,,,,1.00,0.00,0.00,58.62,0.00
56,"With this story, it has done what it regularly does when supposedly vital western foreign policy interests are at stake – it simply regurgitates an elite-serving, western narrative",1,180.00,0,0,,,,1.00,-0.05,0.15,26.14,0.00
57,to vilify him,1,13.00,0,0,him,,,2.00,0.00,0.00,59.97,0.00
58,"Jonathan Cook, a former Guardian writer, makes a similar point:",0,63.00,0,0,Jonathan Cook,,,2.00,0.00,0.20,78.25,0.00
59,"Harding is not a defacement or a departure from the norm, but the personification of it.",0,88.00,0,0,Harding,,,1.00,0.00,0.00,55.24,0.00
60,"It is no accident that Luke Harding is still employed: in fact, it is because of Harding’s consistent loyalty to establishment, specifically the UK intelligence apparatus, over the truth that determines his “success” amongst legacy press outlets.",0,246.00,0,0,"Luke Harding, his, Harding",,UK,3.00,0.28,0.12,25.46,0.00
61,"While most readers with functional critical thinking capacity may readily dismiss the Guardian’s smear on its face, the fact that the Guardian published this piece, and that Luke Harding is still operating with even the tiniest modicum of respect as a journalist despite his history of deceit, tells us something bone-chilling about journalism",1,343.00,0,0,"Luke Harding, his",Guardian,,1.00,0.23,0.60,26.14,0.00
62,As Disobediant Media notes (emphasis in the original):,0,54.00,0,0,,,,2.00,0.38,0.75,29.52,0.00
63,That seems to have become its main purpose.,0,43.00,0,0,,,,1.00,0.17,0.33,88.74,0.00
64,It uncritically peddled the Russiagate story and the nonsensical Skripal claims which are both obviously concocted by British intelligence services.,0,148.00,0,0,,,,1.00,0.00,0.40,8.88,0.00
65,It smeared Assange and Snowden as Russian collaborators.,0,56.00,0,0,"Snowden, Assange",,,2.00,0.00,0.00,37.98,0.00
66,The Guardian has become a main outlet for British government disinformation operations aimed at defaming Russia.,0,112.00,0,0,,,Russia,2.00,0.08,0.17,29.86,0.00
67,It disregarded and left out the denials the subjects of the story had issued before it was published.,0,101.00,0,0,,,,1.00,0.00,0.00,61.67,0.00
68,The story was completely false and the Guardian knew it was.,0,60.00,0,0,,,,1.00,-0.40,0.60,85.69,0.00
69,Guardian smear piece ,1,21.00,0,0,,,,2.00,0.00,0.00,93.81,0.00
70,Wikileaks opened a fund to support the lawsuit.,0,47.00,0,0,Wikileaks,,,1.00,0.00,0.00,80.28,0.00
71,Half an hour later Julian Assange instructed his lawyers to sue the Guardian for libel.,0,87.00,0,0,"his, Julian Assange",,,1.00,-0.08,0.08,73.17,0.00
72,At 21:05 utc a third version was published which included Manafort's denial.,0,76.00,0,0,Manafort,,,1.00,0.00,0.00,67.76,0.00
73,Manafort asserts that his lawyers had notified the Guardian that the story was false before the Guardian 'proceeded with the story'.,0,132.00,0,0,"Manafort, his",,,1.00,-0.40,0.60,67.08,0.00
74,Wikileaks publicly denied the Guardian's claims 90 minutes before the story was first published.,0,96.00,0,0,Wikileaks,,,1.00,0.12,0.20,65.73,0.00
75,"This defensive Guardian claim is, like its story, evidently completely false.",0,77.00,0,0,,,,1.00,-0.40,0.60,51.85,0.00
76,We have since updated the story to reflect their denials.,0,57.00,0,0,,,,2.00,0.00,0.00,69.79,0.00
77,Neither responded to deny the visits taking place.,0,50.00,0,0,,,,1.00,0.00,0.00,46.44,0.00
78,We put these allegations to both Paul Manafort and Julian Assange's representatives prior to publication.,0,105.00,0,0,"Paul Manafort, Julian Assange",,,1.00,0.00,0.00,30.87,0.00
79,This story relied on a number of sources.,0,41.00,0,0,,,,1.00,0.00,0.00,80.28,0.00
80,"At 16:30 utc, under fire from other media and journalists, the Guardian issued a statement:",0,91.00,0,0,,,,1.00,-0.12,0.38,64.71,0.00
81,a hoax,1,6.00,0,0,,,,2.00,0.00,0.00,120.21,0.00
82,In a series of tweets WikiLeaks said Assange and Manafort had not met.,0,70.00,0,0,"Manafort, Assange",WikiLeaks,,1.00,0.00,0.00,83.66,0.00
83,One paragraph was added to included Wikileaks' denial:,0,54.00,0,0,Wikileaks,,,1.00,0.00,0.00,63.36,0.00
84,His lawyers initially declined to answer the Guardian’s questions about the visits.,0,83.00,0,0,His,,,2.00,0.00,0.00,67.76,0.00
85,the claim is “100% false,1,24.00,0,0,,,,1.00,-0.40,0.60,117.16,0.00
86,...,0,3.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
87,Why Manafort might have sought out Assange in 2013 is unclear.,0,62.00,0,0,Manafort,,,1.00,0.00,0.00,85.69,0.00
88,...,0,3.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
89,"But the last apparent meeting is likely to come under scrutiny and could interest Robert Mueller, the special prosecutor who is investigating alleged collusion between the Trump campaign and Russia.",0,198.00,0,0,"Trump, Robert Mueller",,Russia,1.00,0.06,0.42,24.11,0.00
90,It is unclear why Manafort would have wanted to see Assange and what was discussed.,0,83.00,0,0,"Manafort, Assange",,,1.00,0.00,0.00,81.63,0.00
91,"Manafort held secret talks with Assange in Ecuadorian embassy, sources say ...",0,78.00,0,0,Manafort,,,1.00,-0.40,0.70,60.31,0.00
92,No editorial note was attached to inform the readers of the changes:,0,68.00,0,0,,,,1.00,0.00,0.00,59.30,0.00
93,Caveats (here in italic and underlined) were added to the headline and within several paragraphs.,0,97.00,0,0,,,,1.00,0.00,0.00,64.71,0.00
94,At 16:05 utc the Guardian silently edited the story.,0,52.00,0,0,,,,3.00,0.00,0.10,87.72,0.00
95,We are considering all legal options against the Guardian who proceeded with this story even after being notified by my representatives that it was false.”,0,155.00,0,0,,,,1.00,-0.10,0.40,46.10,0.00
96,I have never ,1,13.00,0,0,,,,2.00,0.00,0.00,59.97,0.00
97,"“I have never been contacted by anyone connected to Wikileaks, either directly or indirectly.",0,93.00,0,0,Wikileaks,,,1.00,0.10,0.40,31.89,0.00
98,"“I have never met Julian Assange or anyone connected to him,” the statement said.",0,81.00,0,0,"him, Julian Assange",,,1.00,0.00,0.00,65.73,0.00
99,Shortly after the Guardian's fake news story went public Paul Manafort issued an unequivocal denial:,0,100.00,0,0,Paul Manafort,,,1.00,-0.17,0.46,47.79,0.00
100,There is no public evidence that support such claims.,0,53.00,0,0,,,,1.00,0.00,0.28,79.26,0.00
101,Assange and other involved people deny that such a relation existed.,0,68.00,0,0,,,,1.00,-0.06,0.44,43.39,0.00
102,The new Guardian story looked like another weak attempt to connect the alleged Russian malfeasance with Assange and the Wikileaks publishing of the DNC emails.,0,159.00,0,0,Assange,DNC,,1.00,-0.08,0.29,54.56,0.00
103,The Guardian had to publish an apology.,0,39.00,0,0,,,,2.00,0.00,0.00,81.29,0.00
104,"When he worked in Moscow he copied stories and passages from the now defunct Exile, run by Matt Taibbi and Mark Ames.",0,117.00,0,0,"Mark Ames, he, Matt Taibbi",,,1.00,0.00,0.00,74.53,0.00
105,plagiarizer,1,11.00,0,0,,,,2.00,0.00,0.00,-132.59,0.00
106,a hack job in the purest sense of the term,1,42.00,0,0,,,,1.00,0.00,0.00,112.09,0.00
107,Harding earlier wrote a book about Edward Snowden which was a similar sham.,0,75.00,0,0,"Edward Snowden, Harding",,,2.00,-0.07,0.40,66.74,0.00
108,"When asked for any proof for his assertion Harding defensively says that he is just ""storytelling"" - in other words: it is fiction.",0,131.00,0,0,"his, he, Harding",,,2.00,-0.12,0.38,57.61,0.00
109,there is absolutely no evidence in the book to support its claims,1,65.00,0,0,,,,1.00,-0.10,0.90,67.76,0.00
110,He was taken apart in a Real News interview (vid) about the book.,0,65.00,0,0,He,,,1.00,0.20,0.30,83.66,0.00
111,"Take for example Luke Harding of the Guardian who just published a book titled Collusion: Secret Meetings, Dirty Money, and How Russia Helped Donald Trump Win.",0,159.00,0,0,"Luke Harding, Donald Trump",,Russia,1.00,-0.07,0.63,53.55,0.00
112,"the ""Russian influence"" nonsense ",1,33.00,0,0,,,,2.00,0.00,0.00,8.20,0.00
113,A year ago an important Moon of Alabama piece - From Snowden To Russia-gate - The CIA And The Media - mentioned Harding:,0,120.00,0,0,Harding,CIA,,3.00,0.40,1.00,42.72,0.00
114,"Moreover, the main author of the story, Luke Harding, is known to be a notorious fraud, a russo-phobe intelligence asset with a personal grievance towards Assange and Wikileaks",1,176.00,0,0,Luke Harding,,,1.00,0.08,0.32,34.60,0.00
115,"In sum, the Guardian published a story today that it knew would explode into all sorts of viral benefits for the paper and its reporters even though there are gaping holes and highly sketchy aspects to the story",1,211.00,0,0,,Guardian,,1.00,0.16,0.54,49.83,0.00
116,"If Manafort had really visited Assange, it would have long been known:",0,70.00,0,0,"Manafort, Assange",,,1.00,0.08,0.30,67.76,0.00
117,Every visit is logged.,0,22.00,0,0,,,,1.00,0.00,0.00,75.88,0.00
118,"There are several guards, and visitors have to provide their identity to enter it.",0,82.00,0,0,,,,1.00,0.00,0.00,57.27,0.00
119,Glenn Greenwald noted that the Ecuadorian embassy is under heavy CCTV surveillance.,0,83.00,0,0,Glenn Greenwald,CCTV,,1.00,-0.20,0.50,50.84,0.00
120,The story was weakly sourced and included some details that seemed unlikely to be true,1,86.00,0,0,,,,2.00,-0.18,0.59,64.71,0.00
121,But several people who had followed the Russiagate fairytale and the Mueller investigation were immediately suspicious of the Guardian claim,1,140.00,0,0,Mueller,,,2.00,0.00,0.00,25.80,0.00
122,It is likely that millions of people took note of its claim.,0,60.00,0,0,,,,3.00,0.00,1.00,84.68,0.00
123,They distributed is as a factual account.,0,41.00,0,0,,,,2.00,0.00,0.00,55.91,0.00
124,sensational claim ,1,18.00,0,0,,,,2.00,0.67,0.67,-49.00,0.00
125,"On Monday special counsel Robert Mueller said Manafort lied to investigators, violating his recent plea deal.",0,109.00,0,0,"Manafort, his, Robert Mueller",,,1.00,0.18,0.41,38.32,0.00
126,Currently the U.K. and Ecuador conspire to deliver Julian Assange to U.S. authorities.,0,86.00,0,0,Julian Assange,,"Ecuador, U.S.",1.00,0.00,0.40,41.36,0.00
127,The Guardian piece came at a critical moment.,0,45.00,0,0,,,,3.00,0.00,0.80,80.28,0.00
128,The piece did not include the public denial Wikileaks issued to its 5.4 million followers one and a half hour before it was published.,0,134.00,0,0,,Wikileaks,,1.00,-0.08,0.12,64.04,0.00
129,His lawyers declined to answer the Guardian’s questions about the visits.,0,73.00,0,0,His,Guardian,,2.00,0.00,0.00,77.23,0.00
130,the claim is “100% false,1,24.00,0,0,,,,1.00,-0.40,0.60,117.16,0.00
131,Months later WikiLeaks released a stash of Democratic emails stolen by Russian intelligence officers.,0,101.00,0,0,,WikiLeaks,,1.00,0.00,0.00,40.35,0.00
132,A well-placed source has told the Guardian that Manafort went to see Assange around March 2016.,0,95.00,0,0,Manafort,Guardian,,1.00,0.00,0.00,97.54,0.00
133,"But the last meeting is likely to come under scrutiny and could interest Robert Mueller, the special prosecutor who is investigating alleged collusion between the Trump campaign and Russia.",0,189.00,0,0,"Trump, Robert Mueller",,Russia,1.00,0.06,0.43,33.58,0.00
134,It is unclear why Manafort wanted to see Assange and what was discussed.,0,72.00,0,0,"Manafort, Assange",,,1.00,0.00,0.00,75.20,0.00
135,"Sources have said Manafort went to see Assange in 2013, 2015 and in spring 2016 – during the period when he was made a key figure in Trump’s push for the White House.",0,166.00,0,0,"Manafort, Trump, he",White House,,1.00,0.00,0.50,71.82,0.00
136,"Manafort held secret talks with Assange in Ecuadorian embassy Donald Trump’s former campaign manager Paul Manafort held secret talks with Julian Assange inside the Ecuadorian embassy in London, and visited around the time he joined Trump’s campaign, the Guardian has been told.",0,277.00,0,0,"Manafort, he, Donald Trump, Julian Assange, Trump, Paul Manafort",,,1.00,-0.27,0.47,37.31,0.00
137,The first version read:,0,23.00,0,0,,,,2.00,0.25,0.33,92.80,0.00
138,It led the front page and also appeared in print.,0,49.00,0,0,,,,3.00,0.00,0.00,95.17,0.00
139,90 minutes later the Guardian piece went life.,0,46.00,0,0,,,,2.00,0.00,0.00,88.74,0.00
140,It attached the email the Guardian's Luke Harding had send.,0,59.00,0,0,Luke Harding,,,2.00,0.00,0.00,95.17,0.00
141,"In letter today to Assange's lawyers, Guardian's Luke Harding, winner of Private Eye's Plagiarist of the Year, falsely claims jailed former Trump campaign manager Paul Manafort had secret meetings with Assange in 2013, 2015 and 2016 in story Guardian are ""planning to run",1,271.00,0,0,"Luke Harding, Trump, Assange, Paul Manafort",Guardian,,1.00,-0.20,0.42,44.75,0.00
142,On of those followers is Katherine Viner:,0,41.00,0,0,Katherine Viner,,,2.00,0.00,0.00,64.37,0.00
143,Assange's Wikileaks responded through its public Twitter account which has 5.4 million followers.,0,97.00,0,0,"Wikileaks, Assange",Twitter,,1.00,0.00,0.07,41.36,0.00
144,Some two hours before the story went public it contacted Manafort and Assange's lawyers to get their comments.,0,110.00,0,0,"Manafort, Assange",,,1.00,0.00,0.07,70.13,0.00
145,"On November 27 the Guardian prepared to publish a story which asserted that Paula Manafort, Trump's former campaign manager, had met Julian Assange, the publisher of Wikileaks, in the Ecuadorian embassy in London on at least three occasions.",0,241.00,0,0,"Paula Manafort, Trump, Julian Assange",Wikileaks,,1.00,-0.15,0.20,32.91,0.00
146,a willful fake,1,14.00,0,0,,,,1.00,-0.50,1.00,93.81,0.00
147,"Its recent fake news story about Paul Manafort, Wikileaks and Julian Assange aptly demonstrates this",1,100.00,0,0,"Wikileaks, Paul Manafort, Julian Assange",,,1.00,0.03,0.75,64.71,0.00
148,manipulative propaganda ,1,24.00,0,0,,,,1.00,-0.10,0.10,-218.20,0.00
149,cranky identity grievances stories,1,34.00,0,0,,,,2.00,0.00,0.00,33.58,0.00
150,"While it earlier made attempts to balance its shoddier side with some interesting reporting, it is now solidly main stream in the worst sense.",0,142.00,0,0,,,,1.00,-0.08,0.58,55.58,0.00
151,Under her lead the paper took a new direction.,0,46.00,0,0,her,,,2.00,0.14,0.45,79.26,0.00
152,In 2015 the British Guardian appointed Katherine Viner as editor in chief.,0,74.00,0,0,Katherine Viner,British Guardian,,2.00,0.00,0.00,67.76,0.00
153,This Guardian Fake News Story Proves That The Media Can't Be Trusted,1,68.00,0,0,,,,1.00,-0.10,0.50,84.68,0.00
154,"November 29, 2018",0,17.00,0,0,,,,2.00,0.00,0.00,59.97,0.00
155,This Guardian Fake News Story Proves That The Media Can't Be Trusted,1,68.00,0,0,,,,1.00,-0.10,0.50,84.68,0.00
156,"If you appreciated it, or any of the others, please consider hitting the donate button in the right-hand margin (computer) or below (phone).",0,140.00,0,0,,,,1.00,0.20,0.10,39.67,0.00
157,No one pays me to write these blog posts.,0,41.00,0,0,,,,2.00,0.00,0.00,113.10,0.00
158,Read Porter’s article here.,0,27.00,0,0,Porter,,,1.00,0.00,0.00,75.88,0.00
159,the Guardian’s hit-piece ,1,25.00,0,0,,,,2.00,0.00,0.00,59.97,0.00
160,It did what it is designed to do.,0,33.00,0,0,,,,2.00,0.00,0.00,105.66,0.00
161,The Guardian did not make a mistake in vilifying Assange without a shred of evidence.,0,85.00,0,0,,,,1.00,0.00,0.00,64.71,0.00
162,"Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order",1,111.00,0,0,,,,1.00,0.00,0.00,58.62,0.00
163,"With this story, it has done what it regularly does when supposedly vital western foreign policy interests are at stake – it simply regurgitates an elite-serving, western narrative.",0,181.00,0,0,,,,1.00,-0.05,0.15,26.14,0.00
164,"The truth is that the Guardian has not erred in this latest story attacking Assange, or in its much longer-running campaign to vilify him.",0,138.00,0,0,him,,,1.00,0.35,0.55,64.04,0.00
165,"Improbably, the Guardian has adopted Higgins as the poster-boy for a supposed citizen journalism it has sought to undermine as “fake news” whenever it occurs on social media without the endorsement of state-backed organisations",1,227.00,0,0,Higgins,Guardian,,1.00,-0.23,0.53,20.05,0.00
166,"a high-level, Washington-based think-tank founded to drum up support for NATO and justify its imperialist agenda",1,112.00,0,0,,NATO,,1.00,0.00,0.00,21.40,0.00
167,"Higgins and his well-staffed website Bellingcat have taken on for themselves the role of arbiters of truth on many foreign affairs issues, taking a prominent role in advocating for narratives that promote US and NATO hegemony while demonising Russia, especially in highly contested arenas such as Syria",1,302.00,0,0,"Higgins, his",NATO,"Russia, US, Syria",1.00,0.24,0.62,15.31,0.00
168,"Like Luke Harding, Higgins invariably seems ready to echo whatever the British and American security services need verifying “independently”.",0,141.00,0,0,"Luke Harding, Higgins",,,1.00,0.05,0.16,18.35,0.00
169,"The Guardian also has an especial soft spot for blogger Elliot Higgins, who, aided by the Guardian, has shot to unlikely prominence as a self-styled “weapons expert”.",0,166.00,0,0,Elliot Higgins,,,1.00,-0.20,0.42,60.99,0.00
170,an arbiter of what is good for Britain and the world’s future,1,61.00,0,0,,,Britain,3.00,0.35,0.36,93.14,0.00
171,Islamic jihadists ,1,18.00,0,0,,,,2.00,0.00,0.00,-49.00,0.00
172,"Its pages, however, are readily available to the latest effort to prop up the status quo from Tony Blair, the man who led Britain, on false pretences, into the largest crime against humanity in living memory – the attack on Iraq.",0,229.00,0,0,Tony Blair,,"Britain, Iraq",1.00,0.17,0.63,46.78,0.00
173,the entrenched neoliberal order that is hurtling us towards climate breakdown and economic collapse,1,99.00,0,0,,,,1.00,0.20,0.20,40.35,0.00
174,its true heroes ,1,16.00,0,0,,,,3.00,0.35,0.65,59.97,0.00
175,Heroes of the neoliberal order,0,30.00,0,0,,,,2.00,0.00,0.00,32.56,0.00
176,"The Guardian has painted social media chiefly as a platform overrun by Russian trolls, arguing that this should justify ever-tighter restrictions that have so far curbed critical voices of the dissident left more than the right",1,227.00,0,0,,,,1.00,0.13,0.41,43.40,0.00
177,"The Guardian has been vocal in the so-called “fake news” hysteria, decrying the influence of social media, the only place where leftwing dissidents have managed to find a small foothold to promote their politics and counter the corporate media narrative",1,253.00,0,0,,,,1.00,-0.14,0.49,30.88,0.00
178,democratically elected but official enemies of the US,1,53.00,0,0,,,US,2.00,0.00,0.00,21.06,0.00
179,populist leftwing governments that have rebelled against traditional and oppressive US hegemony in the region,1,109.00,0,0,,,US,1.00,0.00,0.75,30.87,0.00
180,"Similarly, the Guardian worked tirelessly to promote Clinton and undermine Sanders in the 2016 Democratic nomination process – another reason the paper has been so assiduous in promoting the idea that Assange, aided by Russia, was determined to promote Trump over Clinton for the presidency",1,290.00,0,0,"Trump, Clinton, Sanders, Assange",,Russia,1.00,0.00,0.40,17.34,0.00
181,"See here, here and here.",0,24.00,0,0,,,,3.00,0.00,0.00,117.16,0.00
182,"Over the past three years, the Guardian has injected credibility into the Israel lobby’s desperate efforts to tar Corbyn as an anti-semite.",0,139.00,0,0,Corbyn,Guardian,Israel,1.00,-0.42,0.62,40.69,0.00
183,belligerent occupation,1,22.00,0,0,,,,2.00,0.00,0.00,-91.30,0.00
184,"Even aside from its decade-long campaign against Assange, the Guardian is far from “solid and reliable”, as Greenwald claims.",0,125.00,0,0,"Assange, Greenwald",,,3.00,0.05,0.55,69.11,0.00
185,"Rather than being the reason for the Guardian violating basic journalistic standards and ethics, the paper’s hatred of Assange is a symptom of a deeper malaise in the Guardian and the wider corporate media",1,205.00,0,0,,,,0.00,0.00,0.06,45.43,0.00
186,They are entirely predictable and systematic.,0,45.00,0,0,,,,1.00,-0.20,0.50,31.55,0.00
187,What this misses is that the Guardian’s attacks on Assange are not exceptional or motivated solely by personal animosity.,0,121.00,0,0,,,,1.00,-0.17,0.65,35.27,0.00
188,Deeper malaise,0,14.00,0,0,,,,1.00,0.00,0.00,77.91,0.00
189,"— Glenn Greenwald (@ggreenwald) November 28, 2018",0,49.00,0,0,-- Glenn Greenwald,,,1.00,0.00,0.00,64.37,0.00
190,Let's see it.,0,13.00,0,0,,,,3.00,0.00,0.00,119.19,0.00
191,"If Manafort went there, there's video.",0,38.00,0,0,Manafort,,,1.00,0.00,0.00,99.23,0.00
192,Assange's most devoted haters,1,29.00,0,0,Assange,,,2.00,0.50,0.50,50.50,0.00
193,I hope the story turns out true.,0,32.00,0,0,,,,3.00,0.35,0.65,106.67,0.00
194,I think the Guardian is an important paper with great journalists.,0,66.00,0,0,,,,3.00,0.60,0.88,68.77,0.00
195,a bizarre tweet,1,15.00,0,0,,,,2.00,0.40,0.60,119.19,0.00
