,sentence,span,propaganda
111,"Two other unidentified women told HuffPost that Franken grabbed their buttocks at separate events in 2007 and 2008.
","Two other unidentified women told HuffPost that Franken grabbed their buttocks at separate events in 2007 and 2008.
",0
112,"One of the women says Franken suggested that he and she should go to the bathroom together.
","One of the women says Franken suggested that he and she should go to the bathroom together.
",0
113,"Franken said he did not remember the events and denied asking anyone to visit the bathroom with him.
","Franken said he did not remember the events and denied asking anyone to visit the bathroom with him.
",0
114,"Stephanie Kemplin, an Army veteran, says Franken put his hand on her breast during a USO tour in 2003.
","Stephanie Kemplin, an Army veteran, says Franken put his hand on her breast during a USO tour in 2003.
",0
115,"In a statement following that accusation, Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.
","Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described.",1
116,"A woman described as a ""former elected official in New England"" told the Jezebel website that Franken tried to give her a ""wet, open-mouthed kiss"" during an event in 2006.
","wet, open-mouthed kiss""",1
117,"The senator has not appeared to respond specifically to the allegation.
","The senator has not appeared to respond specifically to the allegation.
",0
118,"An unnamed former Democratic congressional aide told Politico that the senator tried to forcibly kiss her after he taped a radio show in 2006.
","An unnamed former Democratic congressional aide told Politico that the senator tried to forcibly kiss her after he taped a radio show in 2006.
",0
119,"She says she avoided the kiss, then heard Franken say ""it's my right as an entertainer.""
","She says she avoided the kiss, then heard Franken say ""it's my right as an entertainer.""
",0
120,"Franken called the allegation ""categorically not true.""
","Franken called the allegation ""categorically not true.""
",0
121,"Tina Dupuy writes in The Atlantic that Franken put his hand around her waist while the pair posed for a photo and squeezed ""at least twice"" during an event in 2009.
","and squeezed ""at least twice""",1
122,"The senator has not specifically responded to that allegation.
","The senator has not specifically responded to that allegation.
",0
123,"Trump formally nominates Gina Haspel to be next CIA director
","Trump formally nominates Gina Haspel to be next CIA director
",0
124,"WASHINGTON — President Donald Trump formally notified Congress on Tuesday that deputy CIA director Gina Haspel is his pick to lead the agency.
","WASHINGTON — President Donald Trump formally notified Congress on Tuesday that deputy CIA director Gina Haspel is his pick to lead the agency.
",0
125,"Trump tweeted last month that he had selected Haspel to replace Mike Pompeo, who is being considered to be secretary of state.
","Trump tweeted last month that he had selected Haspel to replace Mike Pompeo, who is being considered to be secretary of state.
",0
126,"But the president had not sent the formal paperwork to Capitol Hill.
","But the president had not sent the formal paperwork to Capitol Hill.
",0
127,"Logistical issues, including an FBI background check that took longer than expected, was to blame, according to a U.S. official, who was not authorized to discuss the issue and spoke only on condition of anonymity.
","Logistical issues, including an FBI background check that took longer than expected, was to blame, according to a U.S. official, who was not authorized to discuss the issue and spoke only on condition of anonymity.
",0
128,"Still, the delay prompted critics to speculate that the delay signaled the White House was having second thoughts about the nomination.
",the delay signaled the White House was having second thoughts about the nomination.,1
129,"Some lawmakers and human rights groups oppose Haspel’s nomination because of her role in the CIA’s detention and harsh interrogation of terror suspects after 9/11.
","Some lawmakers and human rights groups oppose Haspel’s nomination because of her role in the CIA’s detention and harsh interrogation of terror suspects after 9/11.
",0
130,"The Senate intelligence committee is expected to have a confirmation hearing for Haspel in coming weeks, followed by a vote in the full Senate.
","The Senate intelligence committee is expected to have a confirmation hearing for Haspel in coming weeks, followed by a vote in the full Senate.
",0
131,"Dallas Police Dept.
","Dallas Police Dept.
",0
132,"fires officer who killed Botham Jean in his apartment
","fires officer who killed Botham Jean in his apartment
",0
133,"The Dallas Police Department fired Officer Amber Guyger on Monday, two weeks after she was charged in the fatal shooting of her neighbor.
","The Dallas Police Department fired Officer Amber Guyger on Monday, two weeks after she was charged in the fatal shooting of her neighbor.
",0
134,"This contradicted the police chief’s recent statements that she was unable to discipline the officer while a criminal investigation proceeded.
","This contradicted the police chief’s recent statements that she was unable to discipline the officer while a criminal investigation proceeded.
",0
135,"Guyger allegedly walked into the apartment of the neighbor, Botham Jean, and fatally shot him Sept 6.
","Guyger allegedly walked into the apartment of the neighbor, Botham Jean, and fatally shot him Sept 6.
",0
136,"When she was arrested three days later on manslaughter charges, Guyger said she confused Jean’s home for her own, confused Jean for an intruder, and shot him when he refused her commands, according to court documents.
","When she was arrested three days later on manslaughter charges, Guyger said she confused Jean’s home for her own, confused Jean for an intruder, and shot him when he refused her commands, according to court documents.
",0
137,"The victim’s family has disputed her account and said she had knocked on Jean’s door before killing him.
","The victim’s family has disputed her account and said she had knocked on Jean’s door before killing him.
",0
138,"The incident — one of more than 700 police killings counted by The Washington Post this year — sparked criticism against the police department, which waited days to arrest Guyger, then went weeks without disciplining her even though she was placed on leave.
","The incident — one of more than 700 police killings counted by The Washington Post this year — sparked criticism against the police department, which waited days to arrest Guyger, then went weeks without disciplining her even though she was placed on leave.
",0
139,"“The delay raised questions about why investigators held off on arresting the officer and about whether law enforcement authorities were showing deferential treatment for one of their own,” Kristine Phillips and Deanna Paul wrote for The Post.
","“The delay raised questions about why investigators held off on arresting the officer and about whether law enforcement authorities were showing deferential treatment for one of their own,” Kristine Phillips and Deanna Paul wrote for The Post.
",0
140,"After repeated protests, Police Chief U. Reneé Hall gave contradictory explanations last week for why she could not fire the officer.
","After repeated protests, Police Chief U. Reneé Hall gave contradictory explanations last week for why she could not fire the officer.
",0
141,"She told a town hall that “local, state and federal laws prohibit me from taking action,” according to ABC affiliate WFAA.
","She told a town hall that “local, state and federal laws prohibit me from taking action,” according to ABC affiliate WFAA.
",0
142,"Two days later, the Dallas Morning News reported that police could fire Guyger but did not plan to review her employment until a criminal investigation wrapped up — probably months away.
","Two days later, the Dallas Morning News reported that police could fire Guyger but did not plan to review her employment until a criminal investigation wrapped up — probably months away.
",0
143,"In a statement, Hall said that any disciplinary investigation would risk compromising the criminal case.
","In a statement, Hall said that any disciplinary investigation would risk compromising the criminal case.
",0
144,"“That is not a risk I am willing to take,” she said.
","“That is not a risk I am willing to take,” she said.
",0
145,"Police did not explain what changed by Monday, when the department announced that an internal-affairs investigation had been launched and already “concluded” that Guyger’s arrest was a fireable offense.
","Police did not explain what changed by Monday, when the department announced that an internal-affairs investigation had been launched and already “concluded” that Guyger’s arrest was a fireable offense.
",0
146,"The officer, who was hired in late 2013, was terminated during a hearing Monday morning “for her actions.”
","The officer, who was hired in late 2013, was terminated during a hearing Monday morning “for her actions.”
",0
147,"The statement notes that Guyger can appeal her firing.
","The statement notes that Guyger can appeal her firing.
",0
148,"Police did not comment on whether Hall is still worried that the termination might affect the criminal investigation.
","Police did not comment on whether Hall is still worried that the termination might affect the criminal investigation.
",0
149,"As Paul wrote for The Post, the more significant legal questions are whether Guyger is prosecuted as a police officer or civilian and whether a jury decides she acted reasonably in using deadly force.
","As Paul wrote for The Post, the more significant legal questions are whether Guyger is prosecuted as a police officer or civilian and whether a jury decides she acted reasonably in using deadly force.
",0
150,"Kavanaugh Nomination Is Exploding in Trump’s Face
",Exploding in Trump’s Face,1
151,"The president is doubling down on an increasingly risky candidate.
","The president is doubling down on an increasingly risky candidate.
",0
152,"Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring.
",the biggest political gift possible ,1
