,0,1,2,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,keywords
22,111111113,5743,5774,31.0,0,0,,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
23,111111113,5775,5791,16.0,0,1,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
24,111111113,259,280,21.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
25,111111113,5556,5580,24.0,0,0,Kate Steinle,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
26,111111114,1705,1826,121.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
27,111111115,658,700,42.0,0,0,his,,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
28,111111115,1870,1893,23.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
29,111111115,1655,1746,91.0,0,0,"Franken, he",,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
30,111111115,2389,2418,29.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
31,111111117,671,754,83.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
32,111111122,24,49,25.0,0,0,Trump,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
33,111111122,170,206,36.0,0,0,,,,3.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
34,111111122,343,357,14.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
35,111111122,449,478,29.0,0,0,"his, Trump",,,1.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
36,111111122,888,956,68.0,0,0,,,,3.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
37,111111122,1475,1522,47.0,0,0,"Trump, him",,,3.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
38,111111122,1636,1656,20.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
39,111111122,3210,3224,14.0,0,0,,,,1.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
40,111111122,3413,3440,27.0,0,0,Trump,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
41,111111122,3489,3520,31.0,0,0,,,,3.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
42,111111122,3991,4047,56.0,0,0,"his, Trump",White House,,1.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
43,111111122,4449,4469,20.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
44,111111122,5027,5060,33.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
45,111111122,5131,5141,10.0,0,0,,,,1.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
46,111111122,5529,5653,124.0,0,0,Richard Neustadt,,,1.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
47,111111122,5778,5798,20.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
48,111111122,5840,5921,81.0,0,0,he,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
49,111111122,5950,5981,31.0,0,0,,,,3.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
50,111111122,6441,6452,11.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
51,111111122,6839,6868,29.0,0,0,,,,2.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
52,111111123,4321,4334,13.0,0,0,,,,1.0,"['kavanaugh', 'senat', 'said', 'ford', 'alleg']"
53,111111124,2650,2662,12.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
54,111111124,4098,4111,13.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
55,111111124,4622,4760,138.0,0,0,his,,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
56,111111124,3368,3381,13.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
57,111111124,0,18,18.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
58,111111124,107,123,16.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
59,111111124,282,338,56.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
60,111111124,510,541,31.0,0,0,,FBI,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
61,111111124,2478,2502,24.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
62,111111124,3557,3590,33.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
63,111111124,4170,4377,207.0,0,0,"his, he, Trump",,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
64,111111124,4540,4576,36.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
65,111111124,4920,4936,16.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
66,111111124,4144,4164,20.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
67,111111131,84,97,13.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
68,111111131,102,109,7.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
69,111111131,180,190,10.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
70,111111131,207,214,7.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
71,111111131,326,336,10.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
72,111111131,352,365,13.0,0,0,,,,4.0,"['feder', 'trump', 'u', 's', 'north']"
73,111111131,382,395,13.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
74,111111131,398,413,15.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
75,111111131,723,731,8.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
76,111111131,804,811,7.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
77,111111131,823,866,43.0,0,0,Trump,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
78,111111131,1031,1068,37.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
79,111111131,1191,1201,10.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
80,111111131,1977,1992,15.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
81,111111131,2660,2671,11.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
82,111111131,2728,2739,11.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
83,111111131,2897,2908,11.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
84,111111131,2912,2923,11.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
85,111111131,2953,2997,44.0,0,0,,,,1.0,"['feder', 'trump', 'u', 's', 'north']"
86,111111131,3396,3416,20.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
87,111111131,3437,3445,8.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
88,111111131,3738,3748,10.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
89,111111131,4008,4014,6.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
90,111111131,4030,4038,8.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
91,111111131,4152,4169,17.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
92,111111131,4224,4230,6.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
93,111111131,4256,4264,8.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
94,111111131,4339,4352,13.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
95,111111131,4531,4546,15.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
96,111111131,4635,4643,8.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
97,111111131,4752,4768,16.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
98,111111131,4882,4899,17.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
99,111111131,5174,5186,12.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
100,111111131,5244,5262,18.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
101,111111131,5281,5289,8.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
102,111111131,5369,5378,9.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
103,111111131,5904,5916,12.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
104,111111131,5938,5950,12.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
105,111111131,6920,6937,17.0,0,0,,,,3.0,"['feder', 'trump', 'u', 's', 'north']"
106,111111131,6957,6971,14.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
107,111111131,7314,7324,10.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
108,111111131,7700,7708,8.0,0,0,,,,2.0,"['feder', 'trump', 'u', 's', 'north']"
109,111111132,7925,7943,18.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
110,111111132,147,151,4.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
111,111111132,2262,2272,10.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
112,111111132,2280,2292,12.0,0,0,,,,3.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
113,111111132,4198,4249,51.0,0,0,her,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
114,111111132,4427,4497,70.0,0,0,,,,1.5,"['said', 'democrat', 'islam', 'muslim', 'school']"
115,111111132,4307,4320,13.0,0,0,,,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
116,111111132,4779,4787,8.0,0,0,,,,3.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
117,111111132,7582,7594,12.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
118,111111132,8607,8630,23.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
119,111111132,9597,9651,54.0,0,0,"George H.W. Bush, Faber",,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
120,111111132,10340,10350,10.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
121,111111132,10851,10860,9.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
122,111111132,12045,12087,42.0,0,0,,,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
123,111111132,5776,5811,35.0,1,0,,,,1.5,"['said', 'democrat', 'islam', 'muslim', 'school']"
124,111111133,1224,1244,20.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
125,111111133,2593,2606,13.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
126,111111133,4159,4173,14.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
127,111111133,358,367,9.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
128,111111133,460,465,5.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
129,111111133,504,507,3.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
130,111111133,1070,1077,7.0,0,0,,,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
131,111111133,2572,2589,17.0,0,0,,,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
132,111111133,2625,2646,21.0,0,0,,,,1.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
133,111111133,2944,2950,6.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
134,111111133,3830,3836,6.0,0,0,,,,2.0,"['said', 'democrat', 'islam', 'muslim', 'school']"
135,111111134,945,984,39.0,0,0,,,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
136,111111134,1415,1514,99.0,0,0,"Manafort, Assange",,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
137,111111134,1225,1238,13.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
138,111111134,2427,2457,30.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
139,111111135,3262,3319,57.0,0,0,"his, Adolf Hitler",,,3.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
140,111111135,4580,4591,11.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
141,111111135,543,683,140.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
142,111111135,835,844,9.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
143,111111135,1476,1484,8.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
144,111111135,1929,2341,412.0,0,0,"Muhammad Ali, Edward E. Curtis IV, he",,,1.5,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
145,111111135,2984,3018,34.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
146,111111135,3045,3084,39.0,0,0,,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
147,111111135,6524,6539,15.0,0,0,,,,3.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
148,111111135,6813,6839,26.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
149,111111135,7009,7036,27.0,0,0,,,,4.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
150,111111135,4433,4498,65.0,0,0,"Tamika Mallory, Danny Davis, him",,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
151,111111135,7134,7153,19.0,0,0,,,,1.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
152,111111136,1243,1254,11.0,0,0,,,,2.0,"['gun', 'immigr', 'year', 'state', 'report']"
153,111111136,1874,2026,152.0,0,0,,,Sweden,3.0,"['gun', 'immigr', 'year', 'state', 'report']"
154,111111137,2321,2332,11.0,0,0,,,,2.0,"['gun', 'immigr', 'year', 'state', 'report']"
155,111111137,143,183,40.0,0,0,,,US,0.0,"['gun', 'immigr', 'year', 'state', 'report']"
156,111111137,2058,2065,7.0,0,0,,,,2.0,"['gun', 'immigr', 'year', 'state', 'report']"
157,694327499,9221,9252,31.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
158,694327499,11470,11662,192.0,0,0,"his, he",,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
159,694327499,1366,1503,137.0,0,1,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
160,694327499,2798,2874,76.0,0,0,"Fastiggi, Goldstein",,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
161,694327499,3032,3055,23.0,0,0,,,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
162,694327499,3656,3688,32.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
163,694327499,4811,4934,123.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
164,694327499,4944,4979,35.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
165,694327499,5950,6080,130.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
166,694327499,6320,6343,23.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
167,694327499,9393,9409,16.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
168,694327499,9630,9695,65.0,0,0,Bergoglio,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
169,694327499,11720,11770,50.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
170,694327499,110,142,32.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
171,694327499,6296,6318,22.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
172,694356862,71,171,100.0,0,0,Barack Obama,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
173,694356862,820,830,10.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
174,694356862,2377,2400,23.0,0,0,,,,3.0,"['iran', 'said', 'iranian', 'report', 'trump']"
175,694356862,4680,4691,11.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
176,694356862,270,311,41.0,0,0,his,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
177,694356862,532,574,42.0,0,0,,ISIS,Iraq,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
178,694356862,713,795,82.0,0,0,,,Iraq,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
179,694356862,854,923,69.0,0,0,,,Iran,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
180,694356862,2754,2768,14.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
181,694356862,5069,5185,116.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
182,694356862,5363,5431,68.0,0,0,Trump,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
183,694811415,274,321,47.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
184,694811415,854,913,59.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
185,694811415,1013,1112,99.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
186,694811415,1629,1719,90.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
187,694811415,498,546,48.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
188,694811415,1,23,22.0,0,0,,,,3.0,"['iran', 'said', 'iranian', 'report', 'trump']"
189,695833178,1992,2105,113.0,1,0,,,,3.0,"['iran', 'said', 'iranian', 'report', 'trump']"
190,695833178,364,405,41.0,0,0,,ISIS,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
191,695833178,546,625,79.0,0,0,Laura Loomer,,,3.0,"['iran', 'said', 'iranian', 'report', 'trump']"
192,695833178,2420,2439,19.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
193,695833178,76,103,27.0,1,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
194,695833178,1040,1095,55.0,0,0,,FBI,,3.0,"['iran', 'said', 'iranian', 'report', 'trump']"
195,695833178,837,955,118.0,0,0,"Loomer, she",,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
196,695833178,2510,2570,60.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
197,696246189,861,883,22.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
198,696246189,2552,2646,94.0,0,0,she,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
199,696246189,2848,2898,50.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
200,696246189,3236,3277,41.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
201,696264594,388,414,26.0,0,0,,BDS,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
202,696264594,490,522,32.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
203,696264594,899,972,73.0,0,0,,EU,US,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
204,696264594,1173,1208,35.0,0,0,,,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
205,696264594,1313,1357,44.0,0,0,,Hezbollah,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
206,696264594,3752,3766,14.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
207,696264594,6029,6043,14.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
208,696264594,6754,6784,30.0,0,0,,,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
209,696264594,7337,7435,98.0,0,0,,"Hamas, BDS",Israel,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
210,696264594,3829,4015,186.0,0,0,,,,2.5,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
211,696264594,6201,6207,6.0,0,0,,,,2.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
212,696264594,7013,7040,27.0,0,0,,,,1.0,"['trump', 'fbi', 'assang', 'guardian', 'jewish']"
213,696694316,3471,4012,541.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
214,696694316,603,662,59.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
215,696694316,1020,1096,76.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
216,696694316,3276,3380,104.0,0,0,Paul,,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
217,696694316,4478,4501,23.0,0,0,,,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
218,696694316,7026,7099,73.0,0,0,,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
219,696694316,7971,8297,326.0,0,0,Christ,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
220,696694316,8298,8642,344.0,0,0,Christ,Council of Trent,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
221,696694316,9585,9821,236.0,0,0,Him,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
222,696694316,9373,9584,211.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
223,696694316,11102,11127,25.0,0,0,,,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
224,696694316,12634,12737,103.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
225,696694316,13456,13557,101.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
226,696694316,4376,4395,19.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
227,696694316,10661,10866,205.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
228,696694316,12738,12848,110.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
229,696735702,2630,2685,55.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
230,696735702,1115,1141,26.0,0,0,,,,3.0,"['iran', 'said', 'iranian', 'report', 'trump']"
231,696735702,3585,3632,47.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
232,697063039,1975,2072,97.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
233,697063039,1160,1220,60.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
234,697063039,1375,1413,38.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
235,697063039,1824,1853,29.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
236,697063039,115,120,5.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
237,697063039,142,152,10.0,0,0,,,,1.0,"['iran', 'said', 'iranian', 'report', 'trump']"
238,697063039,1226,1346,120.0,0,0,,,,2.0,"['iran', 'said', 'iranian', 'report', 'trump']"
239,697444415,512,539,27.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
240,697444415,1471,1598,127.0,0,0,he,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
241,697444415,2815,2860,45.0,0,0,,,,3.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
242,697444415,2959,3024,65.0,0,0,,,,2.0,"['trump', 'said', 'presid', 'cia', 'farrakhan']"
243,697454736,8030,8056,26.0,0,0,Francis,,,2.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
244,697454736,599,752,153.0,0,0,"his, Ferrara",,,1.5,"['pope', 'church', 'franci', 'bishop', 'cardin']"
245,697454736,3216,3400,184.0,0,0,"Francis, he",,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
246,697454736,4856,5045,189.0,0,0,"his, Buttiglione, Fastiggi",,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
247,697454736,7080,7178,98.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
248,697454736,7417,7446,29.0,0,0,,,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
249,697454736,8140,8197,57.0,0,0,,,,3.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
250,697454736,8793,8976,183.0,0,0,"He, he",,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
251,697454736,9555,9693,138.0,0,0,,,,1.0,"['pope', 'church', 'franci', 'bishop', 'cardin']"
